ObjectId,AdmUnitId,BundeslandId,AnzFall,AnzTodesfall,AnzFallNeu,AnzTodesfallNeu,AnzFall7T,AnzGenesen,AnzGenesenNeu,AnzAktiv,AnzAktivNeu,Inz7T
305,5314,5,13438,233,62,0,452,12100,0,1100,0,137.1
306,9372,9,6903,172,19,0,171,5800,0,900,0,133.6
307,1061,1,2234,34,8,0,82,2000,0,200,0,62.6
308,5315,5,50271,655,267,1,1697,41300,400,8300,-100,156
309,5316,5,7325,93,50,0,391,6600,0,600,0,238.8
310,5334,5,24825,547,113,0,655,22900,100,1400,0,117.6
311,5358,5,13120,272,45,0,340,12200,100,700,0,128.5
312,9373,9,6105,119,32,0,177,5600,0,400,0,131.5
313,9374,9,5136,164,5,0,33,4900,0,100,0,34.9
314,1062,1,6711,294,28,0,163,5900,0,500,0,66.8
315,9375,9,7757,178,37,0,211,7100,0,500,0,108.7
316,2000,2,73832,1519,206,2,1405,66200,300,6100,-100,76.1
317,9376,9,8020,151,39,0,139,7600,0,300,0,94
318,3101,3,6080,174,33,0,214,5500,0,400,0,85.8
319,9377,9,5261,264,3,0,34,4900,0,100,0,47.2
320,3102,3,5024,71,17,1,163,4600,0,300,0,156.3
321,9461,9,2930,102,19,0,65,2700,0,100,0,84
322,3103,3,3696,82,40,0,204,3300,0,300,0,164
323,9462,9,3388,107,5,0,61,3100,0,100,0,81.6
324,3151,3,5679,180,22,0,194,5200,0,300,0,109.9
325,9463,9,2179,87,13,0,97,1900,0,200,0,236.2
326,3153,3,2464,110,7,0,57,2200,0,200,0,41.8
327,9464,9,3840,113,9,0,83,3500,0,300,0,181.1
328,3154,3,2306,89,12,0,72,2100,0,200,0,78.9
329,9471,9,5217,135,38,0,172,4700,0,400,0,116.9
330,3155,3,2345,49,27,0,147,2100,0,200,0,111.1
331,9472,9,4807,156,12,0,67,4500,0,200,0,64.6
332,3157,3,5179,98,0,0,138,4800,0,300,0,102.4
333,3158,3,2691,95,17,0,129,2400,0,200,0,107.8
334,3159,3,7562,247,47,0,220,6800,0,500,0,67.5
335,3241,3,46090,984,111,0,1146,41900,200,3200,-100,99
336,3251,3,6484,96,0,0,185,5900,0,500,0,85.2
337,3252,3,4065,94,14,0,91,3800,0,200,0,61.3
338,3254,3,8361,276,34,0,181,7700,0,300,0,65.6
339,3255,3,1514,62,0,0,53,1400,0,100,0,75.2
340,3256,3,3555,145,16,0,119,3200,0,200,0,98
341,9473,9,4496,155,27,2,254,3900,0,500,0,292.8
342,3257,3,4530,68,12,0,119,4200,0,300,0,75.4
343,9474,9,4577,110,5,0,102,4300,0,200,0,87.8
344,9475,9,6175,149,4,2,108,5600,0,400,0,113.9
345,9476,9,3945,89,19,0,127,3600,0,300,0,190.3
346,9477,9,3986,112,12,0,69,3400,0,400,0,96.4
347,9478,9,3352,80,8,0,107,3000,0,300,0,160.2
348,9479,9,4951,194,2,0,47,4600,0,100,0,64.7
349,9561,9,1728,44,0,0,37,1600,0,100,0,88.5
350,9562,9,3794,92,4,0,101,3500,0,200,0,89.8
351,9563,9,7198,207,38,0,226,6400,0,500,0,175.9
352,6535,6,3852,105,18,0,90,3600,0,200,0,85.2
353,6611,6,7680,177,21,1,333,6100,0,1400,0,164.7
354,6631,6,12626,242,56,0,364,11600,100,800,0,163.1
355,6632,6,5761,166,66,0,202,5100,0,500,0,167.3
356,6633,6,7618,211,28,0,254,6100,0,1300,0,107.3
357,6634,6,6157,225,0,0,209,5600,0,400,0,116.3
358,6635,6,5724,145,29,0,174,4900,0,700,0,111.2
359,6636,6,3386,153,7,0,96,3000,0,200,0,95.4
360,7111,7,4310,128,3,0,101,3700,0,500,0,88.6
361,7131,7,4203,48,9,0,115,3900,0,200,0,88.4
362,7132,7,4579,97,9,0,173,4200,0,300,0,134.3
363,7133,7,5617,134,12,0,184,5000,0,500,0,116.2
364,7134,7,3154,87,22,0,118,2900,0,200,0,145.8
365,7135,7,1859,54,0,0,31,1700,0,100,0,50.5
366,7137,7,6915,156,13,0,199,5800,0,900,0,92.8
367,7138,7,7785,118,26,0,185,7200,0,500,0,101.2
368,7140,7,3555,97,10,0,88,3300,0,200,0,85.3
369,7141,7,3807,96,4,0,60,3600,0,200,0,49.1
370,7143,7,6833,147,23,0,269,6300,0,400,0,133.2
371,7211,7,2580,28,4,0,66,2400,0,200,0,59.2
372,7231,7,2836,61,9,0,83,2600,0,200,0,73.8
373,7232,7,3168,24,3,0,65,2900,0,300,0,65.6
374,7233,7,1906,59,1,0,22,1800,0,0,0,36.3
375,7235,7,4211,93,23,0,113,3900,0,200,0,75.6
376,7311,7,2010,51,3,0,25,1800,0,200,0,51.3
377,7312,7,3352,108,21,0,141,2700,0,500,0,141
378,7313,7,1551,36,0,0,45,1400,0,100,0,96
379,7314,7,9755,320,16,0,292,8400,100,1100,-100,169.5
380,7315,7,9409,194,28,0,308,7900,0,1400,0,140.9
381,7316,7,1598,37,1,0,37,1500,0,100,0,69.5
382,7317,7,1329,53,14,0,47,1200,0,100,0,116.8
383,7318,7,2708,82,6,0,76,2400,0,200,0,150.3
384,7319,7,3893,88,1,0,113,3600,0,200,0,135.3
385,7320,7,721,6,5,0,25,700,0,100,0,73.1
386,7331,7,4753,117,3,0,127,4400,0,200,0,97.9
387,7332,7,4222,148,6,0,93,3900,0,200,0,70.1
388,7333,7,2429,61,0,0,42,2200,0,200,0,55.8
389,7334,7,5286,125,8,0,85,4900,0,200,0,65.9
390,7335,7,3657,73,28,0,110,3100,0,500,0,103.8
391,7336,7,2071,65,0,0,64,1900,0,100,0,91.1
392,7337,7,3466,113,0,0,92,3100,0,300,0,83.2
393,7338,7,6292,221,6,0,153,5500,0,600,0,99
394,7339,7,6962,206,20,0,147,5900,0,800,0,69.5
395,7340,7,2502,82,14,0,66,2300,0,100,0,69.6
396,8111,8,27562,386,104,0,1399,24300,100,2900,0,220
397,8115,8,15847,265,58,0,395,14200,100,1400,0,100.6
398,8116,8,24520,506,104,3,744,22400,100,1700,0,139.1
399,8117,8,11648,208,64,0,531,9400,100,2000,-100,205.7
400,8118,8,24811,486,124,0,947,22300,100,2000,0,173.6
401,15086,15,3228,150,8,0,85,2900,0,200,0,94.9
402,15087,15,6069,202,26,1,203,5400,0,500,0,150.4
403,15088,15,9585,305,26,0,267,7800,0,1400,0,145.3
404,15089,15,8520,303,29,0,289,7400,0,800,0,152.8
405,15090,15,4468,160,0,0,157,4000,0,300,0,141.2
406,15091,15,6369,257,21,0,164,5800,0,300,0,131.2
407,16051,16,8190,242,35,4,261,7500,0,500,0,122
408,16052,16,5503,187,12,0,159,4900,0,400,0,170.7
409,16053,16,4172,69,23,0,128,3900,0,200,0,115
410,16054,16,2074,105,0,0,35,1800,0,100,0,95.1
411,16055,16,2463,99,9,0,63,2200,0,100,0,96.6
412,16056,16,1825,68,8,0,73,1600,0,200,0,172.8
413,16061,16,5960,224,22,0,136,5500,0,200,0,136
414,16062,16,2574,63,28,1,135,2300,0,200,0,161.8
415,16063,16,7818,228,26,0,227,7000,0,600,0,190.8
416,16064,16,5943,240,15,3,151,5500,0,200,0,147.7
417,16065,16,3446,129,12,0,129,3100,0,200,0,173.8
418,16066,16,9545,345,36,0,222,8800,0,400,0,177.7
419,16067,16,7885,195,18,0,308,7200,100,500,0,228.3
420,16068,16,3865,119,20,0,130,3500,0,200,0,187.2
421,16069,16,4951,226,19,0,217,4400,0,300,0,343.4
422,16070,16,6088,198,26,0,215,5500,100,400,0,202.4
423,16071,16,3873,69,0,0,114,3600,0,200,0,138.8
424,16072,16,3816,156,15,0,99,3000,0,600,0,171.5
425,16073,16,6431,273,23,2,208,5800,0,400,0,201.6
426,16074,16,4499,112,26,0,163,4100,0,300,0,196.5
427,16075,16,6260,156,25,0,266,5400,0,700,0,331.2
428,16076,16,7542,194,25,8,183,6300,0,1000,0,187.9
429,16077,16,6672,259,35,0,219,5700,0,800,0,245
